,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
1636,2017 Maruti Alto 800VXI Manual,"3,01,299","â‚¹6,702/month","36,581 km
1st Owner
Petrol",Mumbai,Maruti,['Alto 800VXI'],2017,['Manual'],"36,581",1,Petrol,"6,702"
1637,2014 Maruti Swift DzireVXI 1.2 BS IV Manual,"4,73,799","â‚¹10,539/month","30,601 km
2nd Owner
Petrol",Mumbai,Maruti,['Swift DzireVXI 1.2 BS IV'],2014,['Manual'],"30,601",2,Petrol,"10,539"
1638,2014 Maruti Alto 800LXI Manual,"2,75,999","â‚¹6,139/month","50,585 km
2nd Owner
Petrol",Mumbai,Maruti,['Alto 800LXI'],2014,['Manual'],"50,585",2,Petrol,"6,139"
1639,2017 Maruti SwiftZDI Manual,"5,93,099","â‚¹13,193/month","1,42,766 km
1st Owner
Diesel",Mumbai,Maruti,['SwiftZDI'],2017,['Manual'],"1,42,766",1,Diesel,"13,193"
1640,2017 Maruti Alto K10VXI Manual,"3,45,399","â‚¹7,683/month","33,040 km
1st Owner
Petrol",Mumbai,Maruti,['Alto K10VXI'],2017,['Manual'],"33,040",1,Petrol,"7,683"
1641,2017 Maruti Alto 800LXI Manual,"3,20,999","â‚¹7,140/month","12,393 km
1st Owner
Petrol",Mumbai,Maruti,['Alto 800LXI'],2017,['Manual'],"12,393",1,Petrol,"7,140"
1642,2013 Hyundai VernaFLUIDIC 1.6 EX VTVT Manual,"4,99,499","â‚¹11,111/month","28,878 km
1st Owner
Petrol",Mumbai,Hyundai,['VernaFLUIDIC 1.6 EX VTVT'],2013,['Manual'],"28,878",1,Petrol,"11,111"
1643,2016 Maruti ErtigaZDI SHVS Manual,"7,87,799","â‚¹17,524/month","51,157 km
1st Owner
Diesel",Mumbai,Maruti,['ErtigaZDI SHVS'],2016,['Manual'],"51,157",1,Diesel,"17,524"
1644,2012 BMW X1SDRIVE 20D Automatic,"8,11,599","â‚¹18,054/month","52,029 km
3rd Owner
Diesel",Mumbai,BMW,['X1SDRIVE 20D'],2012,['Automatic'],"52,029",3,Diesel,"18,054"
1645,2016 Volkswagen AmeoHIGHLINE 1.2 Manual,"5,38,399","â‚¹11,976/month","38,999 km
1st Owner
Petrol",Mumbai,Volkswagen,['AmeoHIGHLINE 1.2'],2016,['Manual'],"38,999",1,Petrol,"11,976"
1646,2018 Mahindra XUV500W7 FWD Manual,"11,09,299","â‚¹24,676/month","39,484 km
1st Owner
Diesel",Mumbai,Mahindra,['XUV500W7 FWD'],2018,['Manual'],"39,484",1,Diesel,"24,676"
1647,2013 Ford Ecosport1.5 TITANIUM TI VCT Manual,"5,08,799","â‚¹11,318/month","52,149 km
1st Owner
Petrol",Mumbai,Ford,['Ecosport1.5 TITANIUM TI VCT'],2013,['Manual'],"52,149",1,Petrol,"11,318"
1648,2017 Maruti SwiftVXI Manual,"5,85,199","â‚¹13,017/month","8,187 km
1st Owner
Petrol",Mumbai,Maruti,['SwiftVXI'],2017,['Manual'],"8,187",1,Petrol,"13,017"
